title,intro,url,rating,star,star_time,comment,
向往的生活 第四季,2020 / 中国大陆 / 真人秀 / 陈格洲 / 何炅 黄磊,https://movie.douban.com/subject/34861173/,6.9,2,2020.08.03 《向往的生活第四季》🌟非常无聊......快乐家族和心火烧都没办法让我笑一笑。,,
傲骨之战 第四季,2020 / 美国 / 剧情 / 布鲁克·肯尼迪 凯文·罗德尼·沙利文 / 克里斯汀·芭伦斯基 库什·珍宝,https://movie.douban.com/subject/33423261/,9.4,5,2020.05.30 《傲骨之战第四季》🌟🌟🌟🌟🌟让Diane做Pro Bono的head果然是一开局就埋下的伏笔……看到第七集Diane在法庭上为Julius辩护，走出法庭后跟他说要fight，真是好精彩的一季！,,
暗恋·橘生淮南,2021 / 中国大陆 / 爱情 / 李木戈 / 胡一天 胡冰卿,https://movie.douban.com/subject/26266920/,4.6,2,2021.02.20 《暗恋 橘生淮南》🌟🌟二熊笔下的男主在改编影视剧中，都是大难临头各自飞。然后编剧大手一挥，几年过去，忽然福至心灵，衣锦还乡。但喜欢结尾，想起二熊书中的标题——「他们问 后来呢？」,,
宠爱,2019 / 中国大陆 / 剧情 喜剧 爱情 / 杨子 / 于和伟 吴磊,https://movie.douban.com/subject/33417046/,5.9,2,2020.01.07 《宠爱》🌟🌟永远无法抵御毛茸茸的小狗。,,
唐人街探案,2020 / 中国大陆 / 犯罪 悬疑 惊悚 / 柯汶利 戴墨 姚文逸 来牧宽 / 邱泽 张钧甯,https://movie.douban.com/subject/30354606/,7.1,2,2020.01.19 《唐人街探案》🌟🌟装神弄鬼。,,
想见你,2019 / 中国台湾 / 爱情 悬疑 奇幻 / 黄天仁 / 柯佳嬿 许光汉,https://movie.douban.com/subject/30468961/,9.2,5,2020.02.18 《想见你》🌟🌟🌟🌟🌟柯佳嬿一人扮三角（雨萱、韵如、有雨萱灵魂的韵如），演技太赞；许光汉少年气满满。喜欢OST；剧组的彩蛋也好用心xxx,,
哪吒之魔童降世,2019 / 中国大陆 / 剧情 喜剧 动画 / 饺子 / 吕艳婷 囧森瑟夫,https://movie.douban.com/subject/26794435/,8.4,4,2019.12.31 《哪吒之魔童降世》🌟🌟🌟🌟哪吒太可爱了！李靖和殷夫人的亲情，敖丙的友情，太乙的师生情，哪吒是不一样，但他不孤独。PS大爱四川口音哈哈哈哈:D,,
傲骨贤妻 第六季,2014 / 美国 / 剧情 / 罗伯特·金 / 朱丽安娜· 玛格丽丝 马特·朱克瑞,https://movie.douban.com/subject/25846032/,9.2,4,2019.12.31 《傲骨贤妻第六季》🌟🌟🌟🌟很看不懂这一季的Alicia。,,
蒙太奇,2013 / 韩国 / 剧情 犯罪 惊悚 / 郑根燮 / 金相庆 严正化,https://movie.douban.com/subject/21937438/,8.2,4,2019.12.29 《蒙太奇》🌟🌟🌟🌟追诉期内整整十五年都没有破的案子，太绝望了。,,
误杀瞒天记,2015 / 印度 / 剧情 犯罪 悬疑 / 尼西卡特·卡马特 / 阿贾耶·德乌干 塔布,https://movie.douban.com/subject/26419637/,8.6,4,2019.12.29 《误杀瞒天记》🌟🌟🌟🌟埋尸警察局👍,,
傲骨贤妻 第七季,2015 / 美国 / 剧情 悬疑 / 布鲁克·肯尼迪 / 朱丽安娜· 玛格丽丝 克里斯汀·芭伦斯基,https://movie.douban.com/subject/26387804/,9.2,5,2019.12.27 《傲骨贤妻第七季》🌟🌟🌟🌟🌟太喜欢Lucca和Marissa。从第五季开始爱上Cary。永远的白月光Will，但凡未得到，总是最登对。I will love you forever.,,
误杀,2019 / 中国大陆 / 剧情 犯罪 悬疑 / 柯汶利 / 肖央 谭卓,https://movie.douban.com/subject/30176393/,7.5,3,2019.12.29 《误杀》🌟🌟🌟结尾真的像吞......一样。,,
82年生的金智英,2019 / 韩国 / 剧情 / 金度英 / 郑有美 孔刘,https://movie.douban.com/subject/30327842/,8.6,5,2019.12.06 《82年生的金智英》🌟🌟🌟🌟🌟好压抑。无论是职业女性还是全职妈妈，都接受着来自社会的偏见。,,
告密者,2010 / 加拿大 德国 / 剧情 传记 犯罪 / 拉尔沙·康达基 / 蕾切尔·薇兹 罗克珊娜·康杜拉切,https://movie.douban.com/subject/3346527/,7.7,4,2019.12.05 《告密者》🌟🌟🌟🌟触目惊心。,,
少年的你,2019 / 中国大陆 中国香港 / 剧情 爱情 犯罪 / 曾国祥 / 周冬雨 易烊千玺,https://movie.douban.com/subject/30166972/,8.2,3,2019.11.30 《少年的你》🌟🌟🌟没有经历过校园暴力的小孩子大概都很难想象陈念的绝望。女警官一味指责受害者为什么诉诸私力而不是报警，真的应该反思对未成年人受害者的保护是否到位。,,
摩登情爱 第一季,2019 / 美国 / 喜剧 爱情 / 约翰·卡尼 埃米·罗森 汤姆·豪尔 莎朗·豪根 / 安妮·海瑟薇 安德鲁·斯科特,https://movie.douban.com/subject/30385409/,8.8,5,2019.10.25 《摩登情爱第一季》🌟🌟🌟🌟🌟安妮海瑟薇好美，这集看到泣不成声。喜欢每一个故事，喜欢结尾，喜欢summer storm。,,
难以置信,2019 / 美国 / 剧情 犯罪 / 丽莎·查罗登科 迈克尔·丁纳 苏珊娜·格兰特 / 梅里特·韦弗 托妮·科莱特,https://movie.douban.com/subject/30122641/,9.2,4,2019.10.28 《难以置信》🌟🌟🌟🌟片尾罪犯讲到他在华盛顿的第一起作案是留有最多破绽的，警察们本可以在这时就锁定他。可当时警察们在做什么呢，一遍一遍让Marie复述被侵犯的细节，听到寄养家庭妈妈的只言片语就预设Marie是在说谎。全程没有专业机构介入关心她的心理健康，也没有像两位女警察一样在调查取证过程中给予Marie应有的关怀。真是一声叹息又一声叹息，有那么多线索都被忽视，世界上最难过的词语就是“本可以”。,,
护法为民 第二季,2019 / 美国 / 剧情 / 汤姆·维里卡 / 霍普·戴维斯 本·申克曼,https://movie.douban.com/subject/30220336/,8.3,4,2019.10.22 《护法为民第二季》🌟🌟🌟🌟我可真是太爱Littlejohn和Leonard啦！Seth和Jay也是两个小可爱！,,
护法为民 第一季,2018 / 美国 / 剧情 / 汤姆·维里卡 / 布丽特·罗伯森 霍普·戴维斯,https://movie.douban.com/subject/27034846/,7.9,4,2019.10.21 《护法为民第一季》🌟🌟🌟🌟喜欢Jay面对Littlejohn时的局促；喜欢Sandra和Allison的友情；喜欢Sandra和Littlejohn初次对峙前默默搜对方履历；喜欢Littlejohn和Leonard没说出口的那些话。以及我真的很能get到Tina每天早晨穿过布鲁克林大桥又走回来xxxD,,
罪有可辩,2019 / 英国 / 喜剧 / 汤姆·乔治 / 福田知盛 凯瑟琳·帕金森,https://movie.douban.com/subject/30226522/,8.5,4,2019.10.20 《罪有可辩》🌟🌟🌟🌟另一个世界的pupil日常。,,
真相捕捉 第一季,2019 / 英国 美国 / 悬疑 惊悚 / 本·切南 / 荷丽黛·格兰杰 卡勒姆·特纳,https://movie.douban.com/subject/30305530/,8.9,5,2019.10.28 《真相捕捉第一季》🌟🌟🌟🌟🌟超好看！从一段技术上有缺陷不能作为定罪依据的视频开始，引出了整个视频可以被剪辑、监控可以被侵入、动态可以被捏造的故事。无处不在可以联网的监控摄像头，是否还能让我们确信眼见为实，在没有证人的情况下，监控视频真的可以定罪量刑吗？,,
致命女人 第一季,2019 / 美国 / 剧情 喜剧 犯罪 / 大卫·格罗斯曼 刘玉玲 马克·韦布 大卫·沃伦 伊丽莎白·艾伦 瓦莱丽·韦斯 道恩·威尔金森 / 刘玉玲 金妮弗·古德温,https://movie.douban.com/subject/30401122/,9.4,4,2019.10.17 《致命女人第一季》🌟🌟🌟🌟三个时空的故事都很精彩。,,
小欢喜,2019 / 中国大陆 / 剧情 家庭 / 汪俊 / 黄磊 海清,https://movie.douban.com/subject/26946624/,8.3,4,2019.08.27 《小欢喜》🌟🌟🌟🌟编剧黄老师颠覆了我对国内生活剧的看法。孩子和家长一起成长，即使有过风雨，依然可以活得幸福欢喜。,,
李尔王,2018 / 英国 / Jonathan Munby / 伊恩·麦克莱恩 乔纳森·贝利,https://movie.douban.com/subject/30256023/,9.1,5,2019.07.28 《李尔王》🌟🌟🌟🌟🌟RT Live @Esplanade SG. Ian演得太好了！结束时全场掌声雷动。,,
战马,2014 / 英国 / 戏曲 / Marianne Elliott / Nigel Allen Derek Mlade,https://movie.douban.com/subject/25768090/,9.1,4,2019.07.27 《战马》🌟🌟🌟🌟RT Live @Esplanade SG. 小马栩栩如生，灯光投影太赞。看到哽咽。,,
一个母亲的复仇,2017 / 印度 / 剧情 犯罪 / 拉维·德耶瓦尔 / 诗丽黛玮 阿克夏耶·坎纳,https://movie.douban.com/subject/26996734/,6.8,2,2019.06.25 《一个母亲的复仇》🌟🌟看到继母处理掉第一人后弃掉……对现实案件的改编太过苍白。想反思什么？想警示什么？太浮于表面了。,,
